day	num_rats	Status
2018-04-02	1	Assigned
2018-04-03	48	Closed
2018-04-03	3	Pending
2018-04-04	38	Closed
2018-04-04	12	Pending
2018-04-04	2	Assigned
2018-04-05	1	Assigned
2018-04-17	15	Pending
2018-04-18	26	Closed
2018-04-18	18	Pending
2018-04-19	28	Closed
2018-04-18	10	Assigned
2018-04-19	23	Pending
2018-02-03	15	Closed
2018-04-20	21	Closed
2018-04-19	6	Assigned
2018-04-09	40	Closed
2018-04-09	17	Pending
2018-04-10	41	Closed
2010-03-01	26	Pending
2010-03-07	13	Pending
2010-03-08	31	Pending
2010-03-09	1	Closed
2010-03-09	19	Pending
2010-03-10	29	Pending
2010-03-11	37	Pending
2017-07-24	57	Closed
2010-03-12	18	Pending
2010-03-13	13	Pending
2010-03-18	31	Pending
2010-03-19	38	Pending
2017-07-26	15	Pending
2010-03-14	14	Pending
2010-03-15	36	Pending
2017-07-28	61	Closed
2017-07-28	1	Assigned
2010-03-16	23	Pending
2010-03-17	36	Pending
2010-03-23	48	Pending
2017-08-04	51	Closed
2017-08-05	40	Closed
2010-03-24	49	Pending
2010-03-25	34	Pending
2017-08-08	14	Pending
2017-08-08	49	Closed
2010-03-28	17	Pending
2010-03-26	33	Pending
2017-08-09	18	Pending
2017-08-09	70	Closed
2010-03-27	15	Pending
2010-03-20	26	Pending
2010-03-21	19	Pending
2010-03-22	40	Pending
2010-04-02	26	Pending
2010-04-03	14	Pending
2010-04-04	18	Pending
2010-04-05	44	Pending
2010-03-29	25	Pending
2010-03-30	31	Pending
2010-03-31	28	Pending
2010-04-01	34	Pending
2017-08-17	64	Closed
2017-08-18	17	Pending
2017-08-18	41	Closed
2017-08-21	15	Pending
2010-04-07	36	Pending
2010-04-08	39	Pending
2010-04-09	31	Pending
2010-04-10	15	Pending
2010-04-11	19	Pending
2017-08-31	6	Pending
2010-04-12	48	Pending
2010-04-13	41	Pending
2010-04-14	45	Pending
2010-04-06	32	Pending
2017-08-30	44	Closed
2010-04-16	23	Pending
2010-04-17	22	Pending
2010-04-18	12	Pending
2017-09-06	50	Closed
2017-09-05	61	Closed
2010-04-19	47	Pending
2013-10-14	1	Pending
2013-10-15	19	Closed
